node_id,pt_root_id,nucleus_id,cell_type,x,y,z
613,864691135342541509,260555,4P,712960.0,595008.0,818200.0
614,864691136012739747,260632,4P,707456.0,626688.0,860440.0
615,864691135741963627,296619,4P,737152.0,620224.0,858200.0
616,864691136085781356,262775,4P,674112.0,654912.0,868840.0
617,864691135060094107,262879,4P,675904.0,642688.0,897680.0
618,864691135396794101,258220,23P,691776.0,568128.0,821960.0
619,864691136953631711,309280,6P-IT,771968.0,1024960.0,927880.0
620,864691136177726726,256625,23P,698816.0,463232.0,893080.0
621,864691135473540914,299074,4P,755520.0,696192.0,896200.0
622,864691135583223405,262956,4P,712320.0,702464.0,877960.0
623,864691135955262472,299073,4P,755712.0,691136.0,882160.0
624,864691135583277677,262825,4P,712640.0,700544.0,857120.0
625,864691135777381805,401824,6P-IT,966080.0,833088.0,905520.0
626,864691136144674612,258307,23P,699776.0,550592.0,844520.0
627,864691135308295238,267206,5P-IT,717376.0,808896.0,848320.0
628,864691135739689073,256676,23P,720128.0,447680.0,894480.0
629,864691135341516741,404260,6P-CT,966912.0,837440.0,983360.0
630,864691135868946966,312043,6P-IT,779904.0,1049472.0,1008160.0
631,864691135720245297,311964,6P-CT,733696.0,1058688.0,1003480.0
632,864691136275729677,311845,6P-IT,733248.0,1047488.0,983680.0
633,864691134990435194,307176,6P-IT,727936.0,916160.0,949400.0
634,864691135465643333,309627,6P-IT,742144.0,1020608.0,1008280.0
635,864691136136838027,271766,6P-CT,700352.0,919680.0,926640.0
636,864691135646353391,344442,6P-IT,798016.0,1002560.0,950640.0
637,864691135892048777,255215,23P,699520.0,439680.0,892680.0
638,864691135209715577,347197,6P-IT,813632.0,1039296.0,1009600.0
639,864691135867532933,307112,6P-IT,748416.0,941888.0,920200.0
640,864691136675220103,274275,6P-IT,714816.0,1018752.0,1009680.0
641,864691136489262866,344547,6P-CT,795136.0,990592.0,976440.0
642,864691136523628945,309227,6P-IT,737536.0,1031744.0,925520.0
643,864691135773724747,309329,6P-CT,724160.0,1002624.0,958400.0
644,864691135867561349,311807,6P-IT,772864.0,1033280.0,951720.0
645,864691136033794747,346889,6P-CT,799744.0,1043200.0,952440.0
646,864691135083619831,274181,6P-IT,714176.0,997376.0,991840.0
647,864691135943149428,347172,6P-IT,794816.0,1057920.0,1021040.0
648,864691135465585221,311953,6P-IT,727808.0,1034496.0,1015800.0
649,864691135989136899,344331,6P-IT,803264.0,1029824.0,919200.0
650,864691135726340523,307206,6P-IT,747200.0,926848.0,955360.0
651,864691136145208372,309541,6P-IT,771200.0,1004288.0,969360.0
652,864691135417827770,271776,6P-IT,703808.0,958208.0,929760.0
653,864691136125985318,309264,6P-IT,762176.0,1021952.0,930760.0
654,864691136742708828,344421,6P-IT,786560.0,1003776.0,956640.0
655,864691136177029382,271778,6P-IT,704256.0,928064.0,913800.0
656,864691136086206316,264843,5P-IT,712128.0,764736.0,826320.0
657,864691135659358850,580988,23P,1374976.0,410496.0,825400.0
658,864691135356708303,307066,5P-ET,785280.0,901120.0,886600.0
659,864691135105879117,337966,5P-ET,814080.0,778048.0,919640.0
660,864691136674080135,256561,23P,720448.0,478080.0,851760.0
661,864691135293096118,300401,5P-IT,738816.0,721216.0,708480.0
662,864691135739008132,291119,23P,747456.0,439680.0,829680.0
663,864691136420378007,430555,5P-ET,989184.0,765888.0,857880.0
664,864691135155894884,256576,23P,661632.0,466688.0,881280.0
